#RTA protocol at iterat= 5500
#  j  err   errj     diffrho    sumj0     sumj1     diffE    sumvar2 
      1  1.325051E-06  3.413008E-07  1.415845E-11  0.800156      0.742201      1.347086E-02  7.460263E-04
      2  1.547247E-06  5.276675E-07  2.723421E-11  0.800156      0.691893      8.434239E-03  6.077636E-04
      3  1.770234E-06  7.077901E-07  5.636824E-11  0.800156      0.646760      9.972803E-04  5.112741E-04
      4  1.982681E-06  8.714252E-07  1.871303E-11  0.800156      0.607253     -6.325147E-03  4.404601E-04
      5  2.055041E-06  9.987179E-07 -5.291767E-12  0.800156      0.575107     -4.296431E-03  3.790303E-04
      6  2.119765E-06  1.116463E-06  3.191314E-11  0.800156      0.546290     -2.958897E-03  3.317851E-04
      7  2.173066E-06  1.225013E-06 -4.647838E-12  0.800156      0.520323     -2.081770E-03  2.958599E-04
      8  2.214956E-06  1.324604E-06  3.392842E-13  0.800156      0.496825     -1.503953E-03  2.684707E-04
      9  2.241784E-06  1.415711E-06 -5.052847E-12  0.800156      0.475478     -1.117895E-03  2.474232E-04
     10  2.253668E-06  1.498829E-06  3.041567E-11  0.800156      0.456015     -8.543166E-04  2.309529E-04
     11  2.253904E-06  1.574626E-06  2.708056E-12  0.800156      0.438205     -6.693857E-04  2.176464E-04
     12  2.242704E-06  1.643605E-06  4.037304E-11  0.800156      0.421875     -5.355407E-04  2.063978E-04
     13  2.221463E-06  1.706294E-06  5.020340E-11  0.800156      0.406882     -4.354003E-04  1.963763E-04
     14  2.191391E-06  1.763247E-06  1.973977E-11  0.800156      0.393106     -3.578943E-04  1.869959E-04
     15  2.154261E-06  1.814934E-06 -1.541789E-11  0.800156      0.380461     -2.958689E-04  1.778819E-04
     16  2.109772E-06  1.861842E-06 -1.764366E-11  0.800156      0.368821     -2.446204E-04  1.688353E-04
     17  2.057395E-06  1.904371E-06 -3.050893E-12  0.800156      0.358048     -2.009995E-04  1.597962E-04
     18  1.999367E-06  1.942876E-06  1.215650E-11  0.800156      0.348047     -1.628704E-04  1.508084E-04
     19  1.938491E-06  1.977666E-06  1.638423E-11  0.800156      0.338772     -1.287780E-04  1.419866E-04
     20  1.874149E-06  2.009050E-06  1.921396E-11  0.800156      0.330181     -9.775579E-05  1.334875E-04
     21  1.806917E-06  2.037274E-06  2.074341E-11  0.800156      0.322247     -6.920219E-05  1.254844E-04
     22  1.739878E-06  2.062512E-06  2.155787E-11  0.800156      0.314930     -4.281504E-05  1.181464E-04
     23  1.682716E-06  2.084945E-06  1.418687E-11  0.800156      0.308193     -1.855512E-05  1.116207E-04
     24  1.640325E-06  2.104828E-06  3.696776E-11  0.800156      0.302013      3.387857E-06  1.060195E-04
     25  1.607353E-06  2.122247E-06  3.597478E-11  0.800156      0.296356      2.263796E-05  1.014103E-04
     26  1.579896E-06  2.137363E-06  2.253930E-11  0.800156      0.291197      3.869244E-05  9.781045E-05
     27  1.558782E-06  2.150327E-06  1.430411E-11  0.800156      0.286491      5.101217E-05  9.518723E-05
