#RTA protocol at iterat= 4000
#  j  err   errj     diffrho    sumj0     sumj1     diffE    sumvar2 
      1  3.324516E-06  2.837503E-07 -1.490719E-11  0.835562      0.790471      7.747911E-02  6.615614E-03
      2  5.767684E-06  4.711776E-07 -2.215472E-11  0.835562      0.748514      0.119781      5.761365E-03
      3  7.927660E-06  6.862298E-07 -1.407408E-11  0.835562      0.707921      0.148713      4.929022E-03
      4  9.816591E-06  9.030507E-07 -1.692335E-11  0.835562      0.669435      0.167942      4.193902E-03
      5  1.149297E-05  1.109951E-06 -1.993072E-12  0.835562      0.633281      0.180207      3.559163E-03
      6  1.295013E-05  1.299701E-06 -4.627410E-12  0.835562      0.599353      0.187370      3.023957E-03
      7  1.418958E-05  1.468781E-06 -1.742162E-11  0.835562      0.567426      0.190617      2.586828E-03
      8  1.520584E-05  1.616952E-06 -1.420197E-11  0.835562      0.537256      0.190683      2.246052E-03
      9  1.599991E-05  1.745842E-06 -3.794121E-11  0.835562      0.508709      0.188031      1.998865E-03
     10  1.659538E-05  1.858048E-06 -6.435918E-11  0.835562      0.481670      0.182963      1.840766E-03
     11  1.700992E-05  1.956497E-06 -8.021495E-11  0.835562      0.456083      0.175694      1.765245E-03
     12  1.725569E-05  2.044134E-06 -6.633893E-11  0.835562      0.431904      0.166385      1.763913E-03
     13  1.736367E-05  2.123897E-06 -3.636913E-11  0.835562      0.409293      0.155164      1.826865E-03
     14  1.735202E-05  2.197610E-06 -2.533973E-11  0.835562      0.388349      0.142137      1.943135E-03
     15  1.723222E-05  2.266421E-06 -3.885425E-11  0.835562      0.369139      0.127392      2.101143E-03
     16  1.702559E-05  2.331416E-06 -3.778489E-11  0.835562      0.351789      0.111013      2.289108E-03
     17  1.673790E-05  2.393366E-06 -3.547296E-11  0.835562      0.336732      9.308124E-02  2.495403E-03
     18  1.637102E-05  2.452644E-06 -2.563727E-11  0.835562      0.324467      7.368600E-02  2.708860E-03
     19  1.594384E-05  2.509643E-06 -2.272849E-11  0.835562      0.315040      5.292942E-02  2.919047E-03
     20  1.546291E-05  2.564541E-06 -2.881073E-11  0.835562      0.308463      3.093360E-02  3.116533E-03
     21  1.493896E-05  2.617495E-06 -3.227196E-11  0.835562      0.304519      7.844895E-03  3.293128E-03
     22  1.438917E-05  2.668752E-06 -1.847322E-11  0.835562      0.302871     -1.616379E-02  3.442109E-03
     23  1.382730E-05  2.718362E-06 -1.455014E-11  0.835562      0.303207     -4.089374E-02  3.558412E-03
     24  1.326255E-05  2.766373E-06 -2.153921E-11  0.835562      0.305301     -6.612446E-02  3.638750E-03
     25  1.270989E-05  2.812995E-06 -1.535572E-11  0.835562      0.308893     -9.162086E-02  3.681632E-03
     26  1.217038E-05  2.858225E-06 -2.928235E-11  0.835562      0.313713     -0.117143      3.687260E-03
     27  1.164558E-05  2.902068E-06 -6.456524E-11  0.835562      0.319414     -0.142456      3.657303E-03
     28  1.117296E-05  2.944510E-06 -5.201262E-11  0.835562      0.325809     -0.167342      3.594560E-03
     29  1.081621E-05  2.985303E-06 -4.007994E-11  0.835562      0.332717     -0.191607      3.502595E-03
     30  1.051785E-05  3.024503E-06 -2.400480E-11  0.835562      0.339985     -0.215084      3.385372E-03
     31  1.027406E-05  3.061862E-06 -1.812772E-11  0.835562      0.347534     -0.237638      3.246979E-03
     32  1.005537E-05  3.097053E-06 -4.823963E-11  0.835562      0.355262     -0.259161      3.091447E-03
     33  9.857684E-06  3.129750E-06 -1.700684E-11  0.835562      0.363040     -0.279570      2.922686E-03
     34  9.670326E-06  3.159608E-06 -7.184475E-12  0.835562      0.370711     -0.298799      2.744489E-03
     35  9.492309E-06  3.186283E-06  1.161116E-11  0.835562      0.378173     -0.316796      2.560585E-03
     36  9.275779E-06  3.181876E-06 -1.337508E-11  0.835562      0.378983     -0.327238      2.357830E-03
     37  9.117564E-06  3.174487E-06  1.209610E-11  0.835562      0.379653     -0.336375      2.144690E-03
     38  8.998614E-06  3.163558E-06 -1.735234E-11  0.835562      0.380119     -0.344034      1.934498E-03
     39  8.951110E-06  3.148554E-06 -4.321787E-11  0.835562      0.380480     -0.350059      1.734646E-03
     40  8.991288E-06  3.129091E-06 -7.162715E-11  0.835562      0.380648     -0.354307      1.552062E-03
     41  9.096416E-06  3.104856E-06 -4.302780E-11  0.835562      0.380593     -0.356661      1.392862E-03
     42  9.216510E-06  3.075692E-06 -7.167333E-11  0.835562      0.379981     -0.357022      1.262050E-03
     43  9.327308E-06  3.041607E-06 -5.331380E-11  0.835562      0.378737     -0.355322      1.163277E-03
     44  9.416746E-06  3.002615E-06 -2.297007E-11  0.835562      0.377005     -0.351518      1.098678E-03
     45  9.477583E-06  2.958829E-06 -5.237411E-11  0.835562      0.375280     -0.345598      1.068793E-03
     46  9.501966E-06  2.910515E-06 -4.839951E-11  0.835562      0.373581     -0.337580      1.072572E-03
     47  9.482375E-06  2.857940E-06 -4.008527E-11  0.835562      0.371593     -0.327513      1.107455E-03
     48  9.414259E-06  2.801612E-06 -5.940848E-11  0.835562      0.369671     -0.315472      1.169543E-03
     49  9.298121E-06  2.741965E-06 -9.155077E-11  0.835562      0.368192     -0.301562      1.253812E-03
     50  9.136611E-06  2.679744E-06 -8.630607E-11  0.835562      0.367044     -0.285911      1.354400E-03
     51  8.930334E-06  2.615902E-06 -7.551559E-11  0.835562      0.366015     -0.268670      1.464913E-03
     52  8.686396E-06  2.551357E-06 -5.936851E-11  0.835562      0.365110     -0.250010      1.578769E-03
     53  8.413687E-06  2.487286E-06 -1.000497E-10  0.835562      0.364415     -0.230115      1.689533E-03
     54  8.131085E-06  2.425151E-06 -1.023412E-10  0.835562      0.364110     -0.209185      1.791243E-03
     55  7.845146E-06  2.366215E-06 -1.059988E-10  0.835562      0.364686     -0.187423      1.878694E-03
     56  7.558221E-06  2.310813E-06 -6.081979E-11  0.835562      0.366240     -0.165038      1.947678E-03
     57  7.273973E-06  2.257435E-06 -7.356338E-11  0.835562      0.368386     -0.142236      1.995153E-03
     58  7.000967E-06  2.205303E-06 -7.225331E-11  0.835562      0.371152     -0.119215      2.019343E-03
     59  6.761002E-06  2.154478E-06 -9.701218E-11  0.835562      0.374528     -9.616394E-02  2.019756E-03
     60  6.585456E-06  2.105180E-06 -1.390523E-10  0.835562      0.378672     -7.325394E-02  1.997136E-03
     61  6.467890E-06  2.057380E-06 -1.670610E-10  0.835562      0.383764     -5.063838E-02  1.953334E-03
     62  6.407557E-06  2.012687E-06 -1.790257E-10  0.835562      0.389446     -2.844867E-02  1.891133E-03
